term,source,definition,langue,auto_definition,definition_finale,valide_auto
english,keyword,,fr,It focuses on the teaching of english and spanish as a foreign language in the french university system,English refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui
french,keyword,,en,It focuses on the teaching of english and spanish as a foreign language in the french university system,French refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui
spanish,keyword,,en,It focuses on the teaching of english and spanish as a foreign language in the french university system,Spanish refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui
interlangue,keyword,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Interlangue refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui
prosodie,keyword,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Prosodie refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui
analyse contrastive,keyword,,en,La deuxième partie est la mise en œuvre de cette méthodologie par une analyse contrastive de l’interlangue réalisée à travers l’étude d’un corpus oral d’apprenants d’anglais,Analyse contrastive refers to La deuxième partie est la mise en œuvre de cette méthodologie par une analyse contrastive de l’interlangue réalisée à travers l’étude d’un corpus oral d’apprenants d’anglais.,oui
anglais,keyword,,fr,"Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar","Anglais refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar.",oui
français,keyword,,fr,"Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar","Français refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar.",oui
espagnol,keyword,,fr,Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol,Espagnol refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.,oui
african languages and linguistics,keyword,,en,,,non
phonetics phonology interface,keyword,,en,,,non
vowel harmony,keyword,,fr,"Bondu so (dogon, mali) displays [atr] vowel harmony that interacts with root-final consonants","Vowel harmony refers to Bondu so (dogon, mali) displays [atr] vowel harmony that interacts with root-final consonants.",oui
dogon languages,keyword,,fr,,,non
prosodie de l'anglais,keyword,,fr,,,non
apprentissage des langues,keyword,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Apprentissage des langues refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui
phonétique contrastive,keyword,,fr,,,non
interjection,keyword,,en,The use of interjections as a discourse phenomenon,Interjection refers to The use of interjections as a discourse phenomenon.,oui
reported speech,keyword,,en,"First, interjections are shown to be associated with a quotative function: they help signal instances of reported speech","Reported speech refers to First, interjections are shown to be associated with a quotative function: they help signal instances of reported speech.",oui
narrative discourse,keyword,,fr,,,non
mande,keyword,,fr,This study describes and compares two conventionalized uses of interjections in traditional narratives in chuvash (turkic) and wan (mande),Mande refers to This study describes and compares two conventionalized uses of interjections in traditional narratives in chuvash (turkic) and wan (mande).,non
turkic,keyword,,fr,This study describes and compares two conventionalized uses of interjections in traditional narratives in chuvash (turkic) and wan (mande),Turkic refers to This study describes and compares two conventionalized uses of interjections in traditional narratives in chuvash (turkic) and wan (mande).,oui
interjection reported speech narrative discourse mande turkic,keyword,,en,,,non
voicing,keyword,,fr,"We compare these results with our previous analysis of voicing for non-morphemic /s/ and /z/ by the same speakers, and we discuss our findings in relation to the markedness of these two sounds","Voicing refers to We compare these results with our previous analysis of voicing for non-morphemic /s/ and /z/ by the same speakers, and we discuss our findings in relation to the markedness of these two sounds.",oui
periodicity,keyword,,fr,"We have analyzed data from the ipce-ipac corpus of learner oral productions, by measuring periodicity for all learner realizations of morphemic -s","Periodicity refers to We have analyzed data from the ipce-ipac corpus of learner oral productions, by measuring periodicity for all learner realizations of morphemic -s.",oui
assimilation,keyword,,fr,"Voice assimilation of morphemic -s in the l2 english of l1 french, l1 italian and l1 spanish learners","Assimilation refers to Voice assimilation of morphemic -s in the l2 english of l1 french, l1 italian and l1 spanish learners.",oui
pronunciation,keyword,,fr,Can l2 pronunciation be evaluated without reference to a native model,Pronunciation refers to Can l2 pronunciation be evaluated without reference to a native model.,oui
l2 acquisition,keyword,,fr,,,non
voisement,keyword,,fr,Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2,Voisement refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.,oui
périodicité,keyword,,fr,"Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs","Périodicité refers to Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs.",oui
prononciation,keyword,,fr,Le regard de l'apprenant sur l'apprentissage de la prononciation,Prononciation refers to Le regard de l'apprenant sur l'apprentissage de la prononciation.,oui
acquisition l2,keyword,,fr,,,non
clle-erss-cognition,keyword,,fr,,,non
langue,keyword,,fr,"Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes","Langue refers to Par ailleurs, nous cherchons à identifier les différentes stratégies adoptées par les traducteurs de chaque langue pour transmettre les éléments du non-sens propres à ces contes.",oui
langage,keyword,,fr,"Interpréter, transcrire et annoter des données de langage oral","Langage refers to Interpréter, transcrire et annoter des données de langage oral.",oui
ergonomie lidile-linguistique,keyword,,fr,,,non
ingéniérie,keyword,,fr,,,non
didactique des langues,keyword,,fr,,,non
rhythmic priming speech production prosody parkinson's disease,keyword,,en,,,non
rhythmic priming,keyword,,fr,A bimodal approach to study the effects of rhythmic priming,Rhythmic priming refers to A bimodal approach to study the effects of rhythmic priming.,oui
speech production,keyword,,en,Does listening to non-linguistic rhythm impact speech production?,Speech production refers to Does listening to non-linguistic rhythm impact speech production?.,oui
parkinson's disease,keyword,,en,Rhythmic stimuli presented to speakers before elocution-on the speech rhythm of people with parkinson's disease,Parkinson's disease refers to Rhythmic stimuli presented to speakers before elocution-on the speech rhythm of people with parkinson's disease.,oui
amorçage rythmique,keyword,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Amorçage rythmique refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui
production de la parole,keyword,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Production de la parole refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui
maladie de parkinson,keyword,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Maladie de parkinson refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui
speech rhythm speech production rhythmic priming prosody parkinson's disease,keyword,,en,,,non
speech rhythm,keyword,,fr,"Different aspects such as speech rhythm metrics based on vowel and consonant duration, prominence and reading latency were analyzed","Speech rhythm refers to Different aspects such as speech rhythm metrics based on vowel and consonant duration, prominence and reading latency were analyzed.",oui
sibilants,keyword,,fr,"Additionally, if taken together, the results of this and our previous study reveal differences in the voicing of morphemic vs non-morphemic realizations for sibilants in l2 english (similar to l1 english)","Sibilants refers to Additionally, if taken together, the results of this and our previous study reveal differences in the voicing of morphemic vs non-morphemic realizations for sibilants in l2 english (similar to l1 english).",oui
phonétique,keyword,,fr,Cette partie débouche sur un cadre méthodologique pour l’analyse phonétique et pour l’interprétation phonologique de ce type de systèmes prosodiques,Phonétique refers to Cette partie débouche sur un cadre méthodologique pour l’analyse phonétique et pour l’interprétation phonologique de ce type de systèmes prosodiques.,oui
didactique,keyword,,fr,Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire,Didactique refers to Les résultats servent de base pour une réflexion sur les niveaux d’abstraction de l’étude de la prosodie et sur les priorités didactiques pour l’enseignement de l’anglais oral au niveau universitaire.,oui
facteurs affectifs,keyword,,fr,,,non
langues,keyword,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Langues refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui
prosodie du français,keyword,,fr,,,non
analyse du langage,keyword,,fr,,,non
second language teaching,keyword,,en,,,non
satisfaction,keyword,,fr,"The term pleasure is studied as students’ satisfaction regarding the teaching and the strategies planned by the teacher, and not their academic success.our initial hypothesis is that an in-depth preparation of activities and teaching and didactic resources, in accordance with the stages of learning, helps to promote pleasure in students, regardless of the language or content of the class.this paper is organized in three parts","Satisfaction refers to The term pleasure is studied as students’ satisfaction regarding the teaching and the strategies planned by the teacher, and not their academic success.our initial hypothesis is that an in-depth preparation of activities and teaching and didactic resources, in accordance with the stages of learning, helps to promote pleasure in students, regardless of the language or content of the class.this paper is organized in three parts.",oui
motivation/expectancy,keyword,,en,"Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis","Motivation/expectancy refers to Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis.",oui
generalization/transfer,keyword,,fr,"Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis","Generalization/transfer refers to Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis.",oui
comprehension/attention,keyword,,fr,"Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis","Comprehension/attention refers to Based on a common planning that takes into account the teaching-learning stages (motivation/expectancy, comprehension/attention, generalization/transfer), we carry out a classroom research to corroborate our hypothesis.",oui
motivación/expectativa,keyword,,es,"A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis","Motivación/expectativa refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis.",oui
generalización/transferencia,keyword,,es,"A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis","Generalización/transferencia refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis.",oui
estrategias didácticas,keyword,,fr,,,non
comprensión/atención,keyword,,es,"A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis","Comprensión/atención refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis.",oui
planificación,keyword,,es,"A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis","Planificación refers to A partir de una planificación común que toma en cuenta las fases de enseñanza-aprendizaje (motivación/expectativa, comprensión/atención, generalización/transferencia), llevamos a cabo una investigación de aula para corroborar nuestra hipótesis.",oui
placer,keyword,,es,"À travers la mise en place d’un questionnaire, nous essayons de nous placer du point de vue des apprenants pour définir l’image qu’ils ont de leur prononciation ainsi que les croyances et stéréotypes qu’ils ont autour des difficultés de son acquisition, notamment en relation avec d’autres compétences linguistiques.","Placer refers to À travers la mise en place d’un questionnaire, nous essayons de nous placer du point de vue des apprenants pour définir l’image qu’ils ont de leur prononciation ainsi que les croyances et stéréotypes qu’ils ont autour des difficultés de son acquisition, notamment en relation avec d’autres compétences linguistiques.",oui
satisfacción,keyword,,es,"El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor","Satisfacción refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor.",oui
enseñanza de segunda lengua,keyword,,es,,,non
accent perception,title,,fr,The role of prosody in foreign accent perception and intelligibility,Accent perception refers to The role of prosody in foreign accent perception and intelligibility.,oui
accent perception intelligibility,title,,fr,,,non
acquisition contrast,title,,fr,,,non
acquisition contrast l2,title,,fr,,,non
acquisition english,title,,fr,,,non
acquisition english voice,title,,fr,,,non
acquisition l2,title,,fr,,,non
acquisition l2 pronunciation,title,,fr,,,non
acquisition la,title,,fr,,,non
acquisition la prononciation,title,,fr,,,non
acquisition la pronunciation,title,,fr,,,non
acquisition phonemic,title,,fr,,,non
acquisition phonemic vs,title,,fr,,,non
amorçage rythmique,title,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Amorçage rythmique refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui
amorçage rythmique sur,title,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Amorçage rythmique sur refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui
analyse et,title,,fr,"Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français","Analyse et refers to Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français.",oui
analyse et exploitation,title,,fr,"Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français","Analyse et exploitation refers to Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français.",oui
analyse interlangue,title,,en,,,non
analyse interlangue prosodique,title,,fr,,,non
analysis interlanguage,title,,en,,,non
analysis interlanguage prosody,title,,en,,,non
analysis rhythmic,title,,fr,,,non
analysis rhythmic priming,title,,en,,,non
anglais ayant,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Anglais ayant refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui
anglais ayant comme,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Anglais ayant comme refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui
anglais francophones,title,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Anglais francophones refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui
anglais francophones et,title,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Anglais francophones et refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui
anglais langue,title,,fr,Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère,Anglais langue refers to Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère.,oui
anglais langue étrangère,title,,fr,Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère,Anglais langue étrangère refers to Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère.,oui
annoter des,title,,fr,"Interpréter, transcrire et annoter des données de langage oral","Annoter des refers to Interpréter, transcrire et annoter des données de langage oral.",oui
annoter des données,title,,fr,"Interpréter, transcrire et annoter des données de langage oral","Annoter des données refers to Interpréter, transcrire et annoter des données de langage oral.",oui
análisis comparativo,title,,fr,Análisis comparativo de dos traducciones de historias de cronopios y de famas de julio cortázar,Análisis comparativo refers to Análisis comparativo de dos traducciones de historias de cronopios y de famas de julio cortázar.,oui
análisis comparativo dos,title,,fr,,,non
análisis contrastivo,title,,fr,Estudio de la prosodia de la interlengua de aprendientes de inglés a través de un análisis contrastivo integrado,Análisis contrastivo refers to Estudio de la prosodia de la interlengua de aprendientes de inglés a través de un análisis contrastivo integrado.,oui
análisis contrastivo integrado,title,,fr,Estudio de la prosodia de la interlengua de aprendientes de inglés a través de un análisis contrastivo integrado,Análisis contrastivo integrado refers to Estudio de la prosodia de la interlengua de aprendientes de inglés a través de un análisis contrastivo integrado.,oui
apport du,title,,fr,Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes,Apport du refers to Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes.,oui
apport du geste,title,,fr,Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes,Apport du geste refers to Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes.,oui
apprenant sur,title,,fr,Le regard de l'apprenant sur l'apprentissage de la prononciation,Apprenant sur refers to Le regard de l'apprenant sur l'apprentissage de la prononciation.,oui
apprenant sur apprentissage,title,,fr,,,non
apprenants anglais,title,,fr,,,non
apprenants anglais ayant,title,,fr,,,non
apprenants anglais francophones,title,,fr,,,non
apprenants anglais langue,title,,fr,,,non
apprentissage des,title,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Apprentissage des refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui
apprentissage des langues,title,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Apprentissage des langues refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui
apprentissage en,title,,fr,L’apport du geste dans l’acquisition de la pronunciation en l2 via un outil d’apprentissage en ligne: une étude pilote.,Apprentissage en refers to L’apport du geste dans l’acquisition de la pronunciation en l2 via un outil d’apprentissage en ligne: une étude pilote.,oui
apprentissage en ligne,title,,fr,L’apport du geste dans l’acquisition de la pronunciation en l2 via un outil d’apprentissage en ligne: une étude pilote.,Apprentissage en ligne refers to L’apport du geste dans l’acquisition de la pronunciation en l2 via un outil d’apprentissage en ligne: une étude pilote.,oui
apprentissage la,title,,fr,,,non
apprentissage la prononciation,title,,fr,,,non
approach study,title,,en,,,non
approach study effects,title,,en,,,non
aprendientes inglés,title,,fr,,,non
aprendientes inglés través,title,,fr,,,non
assimilation morphemic,title,,en,,,non
assimilation morphemic l2,title,,en,,,non
atteintes la,title,,fr,,,non
atteintes la maladie,title,,fr,,,non
au carrefour,title,,fr,"Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français","Au carrefour refers to Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français.",oui
au carrefour la,title,,fr,,,non
aux attentes,title,,fr,Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes,Aux attentes refers to Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes.,oui
ayant comme,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Ayant comme refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui
ayant comme l1,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Ayant comme l1 refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui
bimodal approach,title,,fr,A bimodal approach to study the effects of rhythmic priming,Bimodal approach refers to A bimodal approach to study the effects of rhythmic priming.,oui
bimodal approach study,title,,fr,,,non
bimodal methodology,title,,fr,This bimodal methodology is devised to study the effects of regular and irregular rhythmic priming-i.e,Bimodal methodology refers to This bimodal methodology is devised to study the effects of regular and irregular rhythmic priming-i.e.,oui
bimodal methodology analysis,title,,fr,,,non
bondu verbs,title,,fr,,,non
carrefour la,title,,fr,,,non
carrefour la recherche,title,,en,,,non
case l1,title,,fr,,,non
case l1 spanish,title,,en,,,non
centres langue,title,,fr,,,non
centres langue français,title,,fr,,,non
chez des,title,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Chez des refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui
chez des personnes,title,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Chez des personnes refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui
class planning,title,,en,Second language class planning : means of promoting the feeling of pleasure,Class planning refers to Second language class planning : means of promoting the feeling of pleasure.,oui
class planning means,title,,en,,,non
class planning stages,title,,en,,,non
coerced weight,title,,en,Coerced weight and its consequences in bondu so verbs,Coerced weight refers to Coerced weight and its consequences in bondu so verbs.,oui
coerced weight consequences,title,,en,,,non
comme l1,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Comme l1 refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui
comme l1 le,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Comme l1 le refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui
comparativo dos,title,,fr,,,non
comparativo dos traducciones,title,,es,,,non
comparing frenchl1,title,,en,"The acquisition of /s/ -/z/ in a phonemic vs neutralised context: comparing frenchl1, italianl1 and spanishl1 learners of l2 english","Comparing frenchl1 refers to The acquisition of /s/ -/z/ in a phonemic vs neutralised context: comparing frenchl1, italianl1 and spanishl1 learners of l2 english.",oui
comparing frenchl1 italianl1,title,,en,,,non
congruent incongruent,title,,es,,,non
congruent incongruent corrective,title,,fr,,,non
consequences bondu,title,,es,,,non
consequences bondu verbs,title,,fr,,,non
constitution analyse,title,,en,,,non
constitution analyse et,title,,fr,,,non
context comparing,title,,fr,,,non
context comparing frenchl1,title,,en,,,non
contrast l1,title,,fr,,,non
contrast l1 french,title,,fr,,,non
contrast l2,title,,fr,,,non
contrast l2 english,title,,fr,,,non
contrast learners,title,,en,,,non
contrast learners l1s,title,,fr,,,non
contrastive analysis,title,,en,Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners,Contrastive analysis refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.,oui
contrastive analysis interlanguage,title,,en,,,non
contrastive interlangue,title,,fr,,,non
contrastive interlangue apprenants,title,,fr,,,non
contrastivo integrado,title,,fr,Estudio de la prosodia de la interlengua de aprendientes de inglés a través de un análisis contrastivo integrado,Contrastivo integrado refers to Estudio de la prosodia de la interlengua de aprendientes de inglés a través de un análisis contrastivo integrado.,oui
conversion entre,title,,fr,Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère,Conversion entre refers to Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère.,oui
